seed,model,fold,auroc,accuracy,f1_weighted,brier
0,catboost,3,0.7585,0.6883,0.6671,0.1888
0,catboost,4,0.8696,0.8052,0.8043,0.1422
0,catboost,5,0.7978,0.7403,0.7349,0.1748
0,catboost,6,0.9281,0.8831,0.8799,0.1044
0,catboost,7,0.8326,0.7403,0.7378,0.1561
0,catboost,8,0.9015,0.8026,0.7968,0.12
0,catboost,9,0.7808,0.7632,0.7607,0.1857
1,catboost,0,0.8252,0.7403,0.7226,0.1611
1,catboost,1,0.8378,0.7662,0.7662,0.157
1,catboost,2,0.8141,0.7532,0.7559,0.1714
1,catboost,3,0.877,0.8052,0.8023,0.144
1,catboost,4,0.8667,0.7532,0.7339,0.1537
1,catboost,5,0.9289,0.8442,0.8335,0.1138
1,catboost,6,0.8178,0.7662,0.7582,0.1653
1,catboost,7,0.817,0.7662,0.7614,0.1631
1,catboost,8,0.8869,0.8026,0.7968,0.1291
1,catboost,9,0.7277,0.6579,0.6544,0.2061
7,catboost,0,0.8289,0.7403,0.7273,0.1648
7,catboost,1,0.7726,0.7273,0.7199,0.1766
7,catboost,2,0.9104,0.8052,0.7971,0.1224
7,catboost,3,0.8896,0.8052,0.7999,0.1301
7,catboost,4,0.763,0.6623,0.6322,0.1942
7,catboost,5,0.8052,0.7403,0.7314,0.1772
7,catboost,6,0.9141,0.8442,0.8409,0.1159
7,catboost,7,0.8111,0.7662,0.768,0.1703
7,catboost,8,0.8292,0.75,0.7427,0.1633
7,catboost,9,0.8223,0.75,0.7387,0.1571
42,tabpfn,0,0.877,0.7922,0.7902,0.1373
42,tabpfn,1,0.8415,0.7662,0.7546,0.1629
42,tabpfn,2,0.8022,0.7273,0.7199,0.1739
42,tabpfn,3,0.937,0.8442,0.8364,0.1066
42,tabpfn,4,0.86,0.7662,0.7546,0.1431
42,tabpfn,5,0.8548,0.7662,0.7614,0.1516
42,tabpfn,6,0.8444,0.7532,0.7429,0.1557
42,tabpfn,7,0.8348,0.7273,0.7302,0.1599
42,tabpfn,8,0.8731,0.7632,0.7667,0.1427
42,tabpfn,9,0.7438,0.7105,0.7076,0.1969
0,tabpfn,0,0.8096,0.7532,0.7496,0.1686
0,tabpfn,1,0.8459,0.7403,0.7314,0.1512
0,tabpfn,2,0.8489,0.7922,0.7922,0.146
0,tabpfn,3,0.7644,0.6753,0.6563,0.1966
0,tabpfn,4,0.8615,0.8052,0.7999,0.1453
0,tabpfn,5,0.8059,0.7143,0.7045,0.1696
0,tabpfn,6,0.9385,0.8701,0.8657,0.099
0,tabpfn,7,0.8952,0.8052,0.7938,0.1329
0,tabpfn,8,0.8785,0.7763,0.7697,0.1312
0,tabpfn,9,0.7912,0.7632,0.7632,0.1745
1,tabpfn,0,0.8448,0.7403,0.7171,0.157
1,tabpfn,1,0.8441,0.7922,0.7938,0.1548
1,tabpfn,2,0.823,0.7273,0.7327,0.1711
1,tabpfn,3,0.8926,0.8312,0.8287,0.1274
1,tabpfn,4,0.8867,0.7662,0.7503,0.1406
1,tabpfn,5,0.9393,0.8571,0.8488,0.1076
1,tabpfn,6,0.8519,0.7403,0.7378,0.1483
1,tabpfn,7,0.817,0.7143,0.7084,0.1632
1,tabpfn,8,0.8654,0.7763,0.7697,0.1357
1,tabpfn,9,0.7277,0.6711,0.6658,0.2136
7,tabpfn,0,0.8607,0.7792,0.77,0.1497
7,tabpfn,1,0.7833,0.7403,0.7349,0.1735
7,tabpfn,2,0.8985,0.7922,0.7851,0.1268
7,tabpfn,3,0.8896,0.8052,0.8023,0.1293
7,tabpfn,4,0.7659,0.7013,0.6779,0.1923
7,tabpfn,5,0.8093,0.7532,0.7429,0.1684
7,tabpfn,6,0.9252,0.8312,0.8266,0.1145
7,tabpfn,7,0.8289,0.7532,0.7559,0.1691
7,tabpfn,8,0.8415,0.75,0.7511,0.1563
7,tabpfn,9,0.8485,0.7632,0.7607,0.1486
