seed,model,fold,auroc,accuracy,f1_weighted,brier
1,tabpfn,9,0.9464,0.9,0.8997,0.0847
7,tabpfn,0,0.9832,0.9677,0.9676,0.0527
7,tabpfn,1,0.9496,0.871,0.8712,0.1007
7,tabpfn,2,0.8193,0.8387,0.839,0.1676
7,tabpfn,3,0.8824,0.8,0.7972,0.1425
7,tabpfn,4,0.9286,0.8,0.7982,0.1189
7,tabpfn,5,0.9286,0.8,0.7944,0.1255
7,tabpfn,6,0.9732,0.9667,0.9666,0.0758
7,tabpfn,7,0.9509,0.9,0.9001,0.084
7,tabpfn,8,0.8304,0.7333,0.7309,0.1846
7,tabpfn,9,0.8705,0.8667,0.8655,0.13
